Регион,Рейтинг,Заявок,Тип организации,Название,Описание,Аудитория,Веб-сайт/VK,Статус
Белгородская область,4,407,Ресурсный центр НКО,Портал поддержки НКО Белгородской области,Координация грантовых программ,НКО развития творчества,https://belnko.ru/,Активен
Белгородская область,4,407,Региональная поддержка,Министерство культуры Белгородской области,Гранты в области культуры; ежеквартальные конкурсы,НКО в сфере культуры,https://belgorod-r31.gosweb.gosuslugi.ru/,Активно
Нижегородская область,5,354,Проектный офис ПФКИ,ПФКИ Нижегородская область,Площадка обучения и консультирования по ПФКИ; 230+ поддержанных проектов,Творческие команды,https://vk.com/pfcinnov,Активен
Нижегородская область,5,354,Ресурсный центр культуры,Ресурсный центр культуры Нижегородской области,Поддержка инноваций в культуре,Деятели культуры,Контакты уточнить,Активно
Республика Татарстан,6,337,Проектный офис ПФКИ,ПФКИ Татарстан,Консультирование и поддержка,Творческие инициативы,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Республика Татарстан,6,337,Ресурсный центр культуры,Таткультресурсцентр,Поддержка инноваций и развития в культуре; гранты ПФКИ,Деятели культуры; креативные индустрии,https://tatcultresurs.ru/,Активен
Республика Татарстан,6,337,Министерство культуры,Поддержка МСП творческих отраслей,Гранты на творческие и культурные проекты,МСП в сфере творчества,https://mincult.tatarstan.ru/,Активно
Санкт-Петербург,7,292,Проектный офис ПФКИ,ПФКИ Санкт-Петербург,Консультирование и методологическая помощь,Творческие команды СПб,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Санкт-Петербург,7,292,Ресурсный центр НКО,Ресурсный центр НКО СПб "Круглый стол",Координационная платформа для НКО; 8000+ организаций в сети,НКО Санкт-Петербурга,https://vk.com/spbks,Активен
Санкт-Петербург,7,292,Благотворительный фонд,Центр социальных услуг «Мир да Лад»,Поддержка благотворительности и творческих инициатив,Творческие инициативы и благотворители,Контакты уточнить,Активен
Кемеровская область,8,231,Проектный офис ПФКИ,ПФКИ Кемеровская область,Консультирование по грантам ПФКИ,Творческие команды,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Кемеровская область,8,231,Поддержка НКО,Департамент социальной политики Кемеровской области,Конкурсы для НКО и творческих организаций,НКО в сфере культуры,https://kemerovo.ru/obshchestvo/,Активно
Удмуртская Республика,9,231,Проектный офис ПФКИ,ПФКИ Удмуртия,Консультирование творческих проектов,Авторы проектов культуры,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Удмуртская Республика,9,231,Агентство развития МСП,Корпорация развития Удмуртской Республики,Гранты на развитие бизнеса; молодые и социальные предприниматели,Предприниматели творческих направлений,https://madeinudmurtia.ru/,Активно
Удмуртская Республика,9,231,Центр поддержки,Центр поддержки предпринимательства Удмуртии,Консультирование и поддержка бизнеса,МСП и стартапы,https://www.cpp.udbiz.ru/,Активен
Республика Саха (Якутия),10,213,Проектный офис ПФКИ,ПФКИ Якутия,Консультирование по грантам ПФКИ,Творческие команды Якутии,https://xn--80aeeqaabljrdbg6a3ahhcl4ay9hsa.xn--p1ai/,Активен
Республика Саха (Якутия),10,213,Министерство культуры,Министерство культуры и духовного развития РС(Я),Гранты и субсидии на культурные проекты,Учреждения и организации культуры,https://minkult.sakha.gov.ru/,Активно
Республика Саха (Якутия),10,213,Целевой фонд,Целевой фонд будущих поколений РС(Я),Гранты на культурные и образовательные проекты,Таланты в науке/искусстве/спорте,https://grants.yakutia.click/,Активен
Федеральный уровень,N/A,N/A,Сетевая программа,Сеть центров "Мой бизнес",410+ центров в 88 субъектах РФ; поддержка МСП и молодежного предпринимательства,Предприниматели (включая творческих),https://corpmsp.ru/,Активна
Федеральный уровень,N/A,N/A,Профессиональная организация,ОПОРА РОССИИ,Национальная организация поддержки МСП; молодежные комитеты по регионам,Малое и среднее предпринимательство,https://opora.ru/,Активна
Федеральный уровень,N/A,N/A,Грантовая программа,Фонд содействия инновациям (ФСИ) - Студенческий стартап,1 млн рублей на 12 месяцев для студентов; 2500 грантов в год,Студенты; молодые предприниматели,https://fasie.ru/studstartup/,Активен
Федеральный уровень,N/A,N/A,Федеральный фонд,Российский фонд культуры,Гранты в 8 направлениях культуры; консультирование,НКО и авторские инициативы в культуре,https://rcfoundation.ru/,Активен
Федеральный уровень,N/A,N/A,Благотворительный фонд,Фонд поддержки культуры «Прокультуру»,Поддержка музейной деятельности; просветительские проекты,Организации культуры; авторские инициативы,https://fabculture.org/,Активен
Федеральный уровень,N/A,N/A,Ассоциация,Союз молодых промышленников (СМП),Поддержка молодых предпринимателей; раскрытие творческого потенциала,Молодые предприниматели,https://moosmp.ru/,Активна
Федеральный уровень,N/A,N/A,Ассоциация,Федерация креативных индустрий,Объединяет профессиональные организации и творческие союзы; сеть по всей стране,Деятели креативных индустрий,https://www.creative-russia.ru/,Активна
Федеральный уровень,N/A,N/A,Программа поддержки,Программа "Я в деле",Поддержка молодых предпринимателей в 72 регионах; гранты и инвестиции,Молодежь (18-35 лет),https://xn--b1aeda3a0j.xn--p1ai/,Активна
Федеральный уровень,N/A,N/A,Ассоциация,Ассоциация гастрономического туризма России,Развитие туризма через культуру; поддержка региональных инициатив,Туристические и культурные проекты,https://xn--80ag3bh.xn--p1ai/,Активна
Федеральный уровень,N/A,N/A,Сеть,Сеть креативного туризма,Объединение творческих инициатив; поддержка культурных проектов в туризме,Творческие туристические проекты,https://sktclub.ru/,Активна
Федеральный уровень,N/A,N/A,Программа,Платформа университетского технологического предпринимательства (ПУТП),Отбор университетских стартап-студий; 50+ вузов-участников по стране,Студенты-предприниматели,https://univertechpred.ru/,Активна
Федеральный уровень,N/A,N/A,Фонд,Фонд инфраструктурных и образовательных программ (ФИОП),Развитие университетской инфраструктуры для стартапов,Академические стартапы,https://fiop.site/,Активен
Федеральный уровень,N/A,N/A,Универ-инкубатор,Университет Иннополис (Казань),Проектная деятельность; гранты; частные проекты; обучение в IT,Предприниматели в сфере ИТ,https://innopolis.university,Активен
Федеральный уровень,N/A,N/A,Центр поддержки,Центр поддержки и развития предпринимательства Московской области,Инвестиционные проекты; поддержка бизнеса в МО,МСП Московской области,https://mspmo.ru/,Активен
